helps,ball,strike,Martin,26,1.4
hurts,strike,ball,Bautista,6,3.1
hurts,strike,ball,Saunders,8,2.9
helps,ball,strike,Encarnacion,16,2.4
helps,ball,strike,Donaldson,12,2.6
helps,strike,ball,Happ,24,1.6
hurts,ball,strike,Happ,38,0.9
hurts,strike,ball,Saunders,26,1.1
hurts,strike,ball,Martin,22,1.6
helps,strike,ball,Grilli,4,3.9
helps,strike,ball,Benoit,14,2.4
helps,ball,strike,Martin,26,1.6
helps,ball,strike,Donaldson,34,0.9
helps,ball,strike,Tulowitzki,20,1.9
helps,strike,ball,Estrada,22,2.1
helps,strike,ball,Estrada,34,1.1
helps,strike,ball,Estrada,20,1.6
helps,ball,strike,Barney,20,1.9
hurts,strike,ball,Encarnacion,12,3.1
helps,ball,strike,Encarnacion,8,3.4
hurts,ball,strike,Morales,22,1.9
helps,ball,strike,Donaldson,14,3.4
helps,strike,ball,Biagini,14,2.4
helps,ball,strike,Travis,12,2.6
hurts,strike,ball,Encarnacion,18,2.4
helps,ball,strike,Encarnacion,16,2.4
hurts,strike,ball,Donaldson,30,1.4
helps,ball,strike,Travis,26,1.4
helps,ball,strike,Bautista,18,1.9
hurts,strike,ball,Saunders,20,1.9
helps,strike,ball,Stroman,8,3.1
hurts,strike,ball,Donaldson,4,3.9
hurts,strike,ball,Bautista,32,0.9
helps,strike,ball,Stroman,40,0.4
hurts,ball,strike,Sanchez,24,1.6
helps,strike,ball,Sanchez,32,1.1
helps,strike,ball,Sanchez,22,1.6
hurts,strike,ball,Bautista,20,1.6
hurts,ball,strike,Sanchez,18,2.1
hurts,ball,strike,Sanchez,8,3.6
helps,strike,ball,Happ,24,1.6
helps,strike,ball,Happ,14,2.1
helps,ball,strike,Donaldson,24,1.4
helps,strike,ball,Storen,12,2.4
helps,strike,ball,Schultz,8,2.9
hurts,ball,strike,Schultz,6,4.4
helps,strike,ball,Chavez,18,1.9
helps,strike,ball,Dickey,6,3.4
hurts,strike,ball,Travis,14,2.4
hurts,strike,ball,Smoak,4,4.1
hurts,strike,ball,Tulowitzki,16,2.1
hurts,strike,ball,Saunders,0,5.4
hurts,strike,ball,Donaldson,22,1.6
hurts,ball,strike,Biagini,20,2.1
hurts,strike,ball,Donaldson,12,2.6
helps,strike,ball,Estrada,14,2.6
hurts,strike,ball,Donaldson,18,2.1
helps,ball,strike,Thole,10,3.1
hurts,ball,strike,Estrada,18,2.1
hurts,ball,strike,Cecil,12,2.9
helps,ball,strike,Encarnacion,22,1.6
hurts,strike,ball,Travis,22,1.6
helps,ball,strike,Travis,24,1.4
hurts,ball,strike,Stroman,10,2.9
hurts,strike,ball,Donaldson,20,1.9
helps,strike,ball,Stroman,8,2.9
helps,ball,strike,Tulowitzki,34,0.9
helps,ball,strike,Donaldson,16,2.1
helps,strike,ball,Sanchez,8,2.9
helps,ball,strike,Pillar,20,2.1
hurts,strike,ball,Encarnacion,20,1.9
helps,ball,strike,Donaldson,20,1.9
hurts,strike,ball,Saunders,36,0.9
hurts,strike,ball,Saunders,10,2.9
helps,strike,ball,Loup,22,1.9
hurts,ball,strike,Loup,0,12.1
hurts,strike,ball,Carrera,32,1.1
helps,ball,strike,Carrera,12,2.9
helps,strike,ball,Stroman,22,1.9
helps,strike,ball,Stroman,10,2.9
helps,ball,strike,Thole,18,2.1
helps,ball,strike,Travis,20,2.1
hurts,ball,strike,Dickey,16,3.1
helps,ball,strike,Pillar,8,3.4
hurts,ball,strike,Dickey,10,2.9
helps,ball,strike,Sanchez,4,3.9
hurts,ball,strike,Sanchez,12,2.6
hurts,ball,strike,Upton,18,2.4
helps,ball,strike,Travis,24,1.6
hurts,ball,strike,Sanchez,40,0.6
helps,strike,ball,Sanchez,6,3.9
helps,ball,strike,Carrera,18,2.4
helps,ball,strike,Carrera,18,2.4
helps,strike,ball,Upton,24,1.9
helps,strike,ball,Happ,12,2.6
hurts,ball,strike,Happ,2,6.6
helps,ball,strike,Encarnacion,2,6.1
helps,ball,strike,Carrera,36,0.9
hurts,strike,ball,Barney,4,3.6
hurts,strike,ball,Carrera,22,1.9
helps,strike,ball,Sanchez,18,2.1
helps,ball,strike,Donaldson,30,1.4
helps,ball,strike,Donaldson,14,2.6
helps,strike,ball,Happ,12,3.1
helps,ball,strike,Encarnacion,6,3.1
helps,ball,strike,Lake,40,0.6
helps,ball,strike,Barney,26,1.4
hurts,ball,strike,Happ,22,1.6
hurts,strike,ball,Donaldson,6,3.6
hurts,strike,ball,Encarnacion,10,2.6
helps,ball,strike,Martin,16,2.1
hurts,ball,strike,Hutchison,12,2.6
hurts,strike,ball,Pillar,8,3.9
helps,strike,ball,Barney,22,1.6
hurts,ball,strike,Schultz,18,1.9
hurts,ball,strike,Chavez,18,2.1
hurts,strike,ball,Smoak,14,2.4
helps,ball,strike,Tulowitzki,38,0.9
hurts,strike,ball,Smoak,2,4.6
hurts,strike,ball,Travis,0,44.9
hurts,strike,ball,Saunders,20,1.9
helps,strike,ball,Stroman,12,2.4
hurts,strike,ball,Smoak,28,1.6
hurts,strike,ball,Donaldson,16,2.1
hurts,strike,ball,Saunders,18,2.4
helps,strike,ball,Osuna,14,2.1
hurts,ball,strike,Osuna,22,1.6
helps,strike,ball,Osuna,18,2.1
hurts,strike,ball,Pillar,22,2.1
helps,ball,strike,Donaldson,10,2.6
hurts,strike,ball,Donaldson,24,1.9
hurts,strike,ball,Sanchez,24,1.6
hurts,ball,strike,Sanchez,4,4.1
hurts,strike,ball,Sanchez,20,3.1
hurts,strike,ball,Pillar,12,2.6
hurts,strike,ball,Travis,16,2.9
hurts,strike,ball,Barney,10,2.6
hurts,strike,ball,Encarnacion,20,2.9
helps,ball,strike,Saunders,0,6.9
hurts,ball,strike,Happ,20,1.9
hurts,strike,ball,Encarnacion,2,5.1
helps,ball,strike,Martin,20,2.4
helps,ball,strike,Encarnacion,22,1.9
helps,strike,ball,Estrada,36,0.9
helps,ball,strike,Saunders,12,3.1
helps,ball,strike,Estrada,18,1.9
helps,ball,strike,Tulowitzki,26,1.9
helps,ball,strike,Donaldson,32,1.4
hurts,ball,strike,Schultz,14,2.4
hurts,strike,ball,Pillar,34,0.9
helps,ball,strike,Saunders,16,2.6
helps,strike,ball,Stroman,12,2.6
helps,ball,strike,Encarnacion,18,2.6
helps,strike,ball,Stroman,24,1.6
hurts,ball,strike,Osuna,6,3.9
helps,ball,strike,Donaldson,24,1.6
helps,ball,strike,Travis,6,4.6
helps,ball,strike,Saunders,2,6.9
helps,ball,strike,Thole,20,1.9
helps,ball,strike,Pillar,4,3.9
hurts,ball,strike,Dickey,6,4.6
helps,ball,strike,Thole,38,0.6
helps,ball,strike,Travis,38,0.6
helps,strike,ball,Sanchez,18,1.9
helps,strike,ball,Sanchez,22,1.6
helps,ball,strike,Donaldson,10,3.1
helps,ball,strike,Travis,8,3.9
hurts,ball,strike,Happ,8,3.6
hurts,ball,strike,Happ,22,1.9
hurts,strike,ball,Saunders,16,2.6
hurts,ball,strike,Happ,16,2.1
helps,ball,strike,Saunders,24,1.9
helps,ball,strike,Pillar,14,2.9
helps,ball,strike,Tulowitzki,0,8.1
helps,ball,strike,Saunders,8,3.1
helps,ball,strike,Saunders,16,2.1
helps,ball,strike,Donaldson,36,0.9
helps,strike,ball,Estrada,18,2.1
helps,strike,ball,Estrada,22,1.9
helps,strike,ball,Estrada,34,0.9
hurts,ball,strike,Estrada,12,2.4
helps,ball,strike,Travis,14,2.4
helps,ball,strike,Martin,18,2.1
hurts,strike,ball,Saunders,20,1.6
helps,strike,ball,Floyd,20,1.6
hurts,strike,ball,Donaldson,8,2.9
hurts,strike,ball,Travis,8,2.9
helps,ball,strike,Saunders,32,1.4
hurts,strike,ball,Pillar,40,0.6
hurts,ball,strike,Grilli,22,1.4
helps,strike,ball,Dickey,0,5.9
helps,strike,ball,Dickey,12,2.9
helps,strike,ball,Dickey,22,1.6
helps,strike,ball,Dickey,2,4.1
helps,strike,ball,Dickey,6,3.6
hurts,strike,ball,Martin,12,2.6
hurts,strike,ball,Pillar,20,1.9
helps,strike,ball,Sanchez,0,5.9
helps,strike,ball,Sanchez,4,3.4
hurts,ball,strike,Sanchez,14,2.4
helps,strike,ball,Sanchez,14,2.6
hurts,strike,ball,Smoak,22,1.6
helps,ball,strike,Donaldson,26,1.4
hurts,strike,ball,Happ,20,1.6
hurts,strike,ball,Barney,38,0.9
helps,ball,strike,Barney,10,3.4
hurts,strike,ball,Barney,20,1.6
hurts,strike,ball,Martin,10,2.9
hurts,strike,ball,Saunders,14,2.4
helps,strike,ball,Happ,26,1.4
helps,ball,strike,Martin,34,1.1
helps,ball,strike,Donaldson,14,2.6
helps,ball,strike,Donaldson,18,2.1
hurts,ball,strike,Paredes,16,2.1
helps,strike,ball,Estrada,20,1.9
hurts,strike,ball,Estrada,20,1.6
hurts,strike,ball,Goins,14,2.1
hurts,ball,strike,Estrada,24,1.6
helps,ball,strike,Martin,16,2.1
helps,ball,strike,Martin,0,6.4
hurts,ball,strike,Estrada,18,1.9
helps,strike,ball,Estrada,16,2.4
